"time","Porto Velho","Ariquemes","Cacoal","Vilhena"
"Jan 1, 2007",0.017954737947461,0.017923745289115,0.018041021559731,0.017495329339599
"Feb 1, 2007",0.017645676608936,0.017418514930371,0.017182716024528,0.016499181750876
"Mar 1, 2007",0.01804783726275,0.017980838453586,0.01794809723615,0.017359883899632
"Apr 1, 2007",0.018261877604871,0.018038191033176,0.017695562503347,0.017011170792942
"May 1, 2007",0.016213896613039,0.01553641355643,0.014721269639389,0.013713897197236
"Jun 1, 2007",0.013662309803121,0.01275141562034,0.011767316692621,0.01125049174221
"Jul 1, 2007",0.013154880123115,0.012378725329949,0.011160627105816,0.011142553365556
"Aug 1, 2007",0.010682746975598,0.009558816201684,0.00871835352901,0.008966690574013
"Sep 1, 2007",0.013908081777732,0.013039126069259,0.011096281803324,0.010543663597253
"Oct 1, 2007",0.016764112050868,0.016228163903323,0.015059541934927,0.014531933167263
"Nov 1, 2007",0.018493363322104,0.018344464678729,0.017914964067209,0.017279958923276
"Dec 1, 2007",0.018679255673705,0.018515654836757,0.018227672753539,0.017706498907386
"Jan 1, 2008",0.018109064765104,0.017861090173326,0.017570826230879,0.017060085203499
"Feb 1, 2008",0.017901932322527,0.01789764826128,0.017731511402766,0.017303774280351
"Mar 1, 2008",0.018081861295156,0.017979153430078,0.017938931923112,0.017576826412683
"Apr 1, 2008",0.018101728675865,0.017773019521514,0.017224260065643,0.016584683174402
"May 1, 2008",0.016218259743703,0.015765505697243,0.014925200639071,0.014011269666564
"Jun 1, 2008",0.014350131920449,0.013393856202074,0.012404779563232,0.011744729108801
"Jul 1, 2008",0.012076243913551,0.010671115480047,0.009496571726089,0.00955579986891
"Aug 1, 2008",0.011980471974635,0.010460757653572,0.009442130866355,0.009590183015165
"Sep 1, 2008",0.014893468214971,0.013486119060743,0.012049759474321,0.012088552258964
"Oct 1, 2008",0.017165492066824,0.016530590838217,0.015389500840202,0.015333338828107
"Nov 1, 2008",0.018890549381883,0.018569807286159,0.018242591599477,0.017329867640301
"Dec 1, 2008",0.01835075426844,0.018195307404256,0.017899748568057,0.017203487713523
"Jan 1, 2009",0.018309666986354,0.018043493958991,0.017811171030875,0.017174274051524
"Feb 1, 2009",0.018335530590808,0.018103889822263,0.018240442389416,0.017517008053807
"Mar 1, 2009",0.018372001952149,0.018094116042206,0.018392163094163,0.017672838363993
"Apr 1, 2009",0.018267038855049,0.018284658061412,0.017986998138951,0.017369959353757
"May 1, 2009",0.017915362944243,0.01724774085693,0.016535492144073,0.015817254356625
"Jun 1, 2009",0.016015545445024,0.015308935746151,0.01394557224322,0.013218341595762
"Jul 1, 2009",0.014496028599644,0.013671875527765,0.012892950679755,0.012400283336982
"Aug 1, 2009",0.013900477506048,0.012958462851975,0.011832048049245,0.01175586095384
"Sep 1, 2009",0.015242893425954,0.014957888328031,0.014079833899362,0.014141522542857
"Oct 1, 2009",0.016938573738605,0.016660197725324,0.016350991859674,0.016222478559087
"Nov 1, 2009",0.01922799157426,0.019159773041023,0.018672450131616,0.017851962693718
"Dec 1, 2009",0.018444125277151,0.018314076568874,0.018147602022533,0.017595064748917
"Jan 1, 2010",0.018127059470086,0.018018936403259,0.017912632177919,0.017499272509446
"Feb 1, 2010",0.01906258324959,0.018846922005813,0.018775008547362,0.018019229014147
"Mar 1, 2010",0.018934070461818,0.018385066962458,0.018412315119205,0.01805538760813
"Apr 1, 2010",0.017655428051805,0.016926732342916,0.016335923947227,0.015433042151038
"May 1, 2010",0.016766173674072,0.016105220958886,0.015078847776601,0.014131247400471
"Jun 1, 2010",0.014392623743386,0.013001541958983,0.01234455802183,0.012010363352193
"Jul 1, 2010",0.012653344190663,0.011669158906746,0.010819335782027,0.010641664488729
"Aug 1, 2010",0.010192881901786,0.009052544073836,0.008289239500482,0.008439972038523
"Sep 1, 2010",0.013760818397399,0.013045377970045,0.011579877896422,0.011005199059369
"Oct 1, 2010",0.016668642716131,0.016739054378634,0.016194565844888,0.015683773437114
"Nov 1, 2010",0.018382847169513,0.018074195290582,0.017754342446603,0.017320246685565
"Dec 1, 2010",0.018396728698581,0.018009083572064,0.017361552034686,0.016593601247498
"Jan 1, 2011",0.018246259048983,0.018130650444345,0.017809536871625,0.017121388538846
"Feb 1, 2011",0.018178622219417,0.017800428633621,0.017975975995597,0.017265178709259
"Mar 1, 2011",0.018340891147896,0.018169745370605,0.017829827920782,0.017166766445759
"Apr 1, 2011",0.018052404126632,0.017860073809669,0.01763711563235,0.016698957200425
"May 1, 2011",0.016057544321488,0.015179968890679,0.014026818489979,0.013449679810172
"Jun 1, 2011",0.014238041563025,0.013328643463978,0.012456562211244,0.01191639165819
"Jul 1, 2011",0.013397648762958,0.012687978830634,0.011712728332229,0.01116992652608
"Aug 1, 2011",0.012380118110057,0.011586591601618,0.011052717409557,0.011015244008305
"Sep 1, 2011",0.015455347762612,0.014910849646286,0.013886009513299,0.013184053537651
"Oct 1, 2011",0.017168731060408,0.017143330449366,0.016563951242174,0.015936602842696
"Nov 1, 2011",0.017919674704765,0.017963374809959,0.017713572406694,0.017025950781892
"Dec 1, 2011",0.018449890994734,0.018579371482009,0.018171391659097,0.017410549802273
"Jan 1, 2012",0.018267530775592,0.018008159071531,0.017892061251518,0.01731923893957
"Feb 1, 2012",0.017797183201258,0.017763280608435,0.017544526104537,0.016633770481853
"Mar 1, 2012",0.017592327132442,0.017478136686357,0.017325960960519,0.016717738643079
"Apr 1, 2012",0.018071542343548,0.017879292473142,0.017552811641985,0.016810564039623
