"time","Porto Velho","Vilhena","Ariquemes","Cacoal"
"Nov 1, 2016",150.609,245.818,163.002,227.736
"Dec 1, 2016",193.15,272.836,141.764,220.109
"Jan 1, 2017",306.129,270.188,213.662,240.138
"Feb 1, 2017",246.44,300.406,260.438,290.796
"Mar 1, 2017",297.151,391.828,302.053,275.614
"Apr 1, 2017",162.609,133.645,159.178,136.401
"May 1, 2017",112.499,57.579,70.258,91.93
"Jun 1, 2017",19.818,9.567,14.434,8.621
"Jul 1, 2017",0.986,0.872,0.006,0.583
"Aug 1, 2017",42.674,75.443,59.047,62.109
"Sep 1, 2017",81.807,61.204,84.373,67.184
"Oct 1, 2017",99.15,108.033,80.883,129.278
"Nov 1, 2017",219.786,230.243,246.036,241.714
"Dec 1, 2017",319.969,327.523,346.642,370.058
"Jan 1, 2018",308.146,271.026,264.007,206.626
"Feb 1, 2018",363.687,245.478,401.049,255.462
"Mar 1, 2018",217.014,266.646,266.819,288.061
"Apr 1, 2018",190.354,229.762,199.713,165.167
"May 1, 2018",66.563,38.135,41.694,45.466
"Jun 1, 2018",18.26,12.112,9.542,11.674
"Jul 1, 2018",6.059,0.605,7.271,0.255
"Aug 1, 2018",75.467,45.567,89.053,43.514
"Sep 1, 2018",92.088,68.064,110.208,67.587
"Oct 1, 2018",142.326,234.922,126.39,171.815
"Nov 1, 2018",197.977,205.983,205.547,208.65
"Dec 1, 2018",245.521,202.414,221.481,272.908
